Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:XPD,"XPD Soccer Gear Group (ASX:XPD)",https://www.listcorp.com/asx/xpd/xpd-soccer-gear-group,"	0",0,0.00,0,"Consumer Discretionary"
ASX:ZGM,"Zamia Metals (ASX:ZGM)",https://www.listcorp.com/asx/zgm/zamia-metals,"	0",0,0.00,0,Materials
ASX:A1C,"AIC Resources Limited (ASX:A1C)",https://www.listcorp.com/asx/a1c/aic-resources-limited,"	0",0,0.00,0,Materials
ASX:CLF,"Concentrated Leaders Fund (ASX:CLF)",https://www.listcorp.com/asx/clf/concentrated-leaders-fund,"	0",0,0.00,0,Financials
ASX:ZYB,"Zyber Holdings (ASX:ZYB)",https://www.listcorp.com/asx/zyb/zyber-holdings,"	0",0,0.00,0,"Information Technology"
ASX:EXO,"Ennox Group Ltd (ASX:EXO)",https://www.listcorp.com/asx/exo/ennox-group-ltd,"	0",0,0.00,0,Financials
ASX:A40,"Alliance Mineral Assets Limited (ASX:A40)",https://www.listcorp.com/asx/a40/alliance-mineral-assets-limited,"	0",0,0.00,0,Materials
ASX:AFT,"AFT Corporation (ASX:AFT)",https://www.listcorp.com/asx/aft/aft-corporation,"	0",0,0.00,0,"Information Technology"
ASX:IXT,"IXT Limited (ASX:IXT)",https://www.listcorp.com/asx/ixt/ixt-limited,"	0",0,0.00,0,Unclassified
ASX:8AU,"8 Au Limited (ASX:8AU)",https://www.listcorp.com/asx/8au/8-au-limited,"	0",0,0.00,0,Materials
ASX:RDF,"Redflex Holdings Limited (ASX:RDF)",https://www.listcorp.com/asx/rdf/redflex-holdings,"	0",0,0.00,0,"Information Technology"
ASX:TTS,"Tatts Group (ASX:TTS)",https://www.listcorp.com/asx/tts/tatts,"	0",0,0.00,0,"Consumer Discretionary"
ASX:NIU,"Niuminco Group (ASX:NIU)",https://www.listcorp.com/asx/niu/niuminco-group,"	0",0,0.00,0,Materials
ASX:AWN,"AWN Holdings Limited (ASX:AWN)",https://www.listcorp.com/asx/awn/awn-holdings-limited,"	0",0,0.00,0,Industrials
ASX:RHP,"Rhipe Limited (ASX:RHP)",https://www.listcorp.com/asx/rhp/rhipe-limited,"	0",0,0.00,0,"Information Technology"
ASX:DGO,"DGO Gold Limited (ASX:DGO)",https://www.listcorp.com/asx/dgo/dgo-gold-limited,"	0",0,0.00,0,Materials
ASX:NKP,"NKWE Platinum (ASX:NKP)",https://www.listcorp.com/asx/nkp/nkwe-platinum,"	0",0,0.00,0,Materials
ASX:AIR,"Astivita Limited (ASX:AIR)",https://www.listcorp.com/asx/air/astivita-limited,"	0",0,0.00,0,Industrials
ASX:P2P,"P2P Transport Limited (ASX:P2P)",https://www.listcorp.com/asx/p2p/p2p-transport-limited,"	0",0,0.00,0,Industrials
ASX:DLX,"DuluxGroup Limited (ASX:DLX)",https://www.listcorp.com/asx/dlx/duluxgroup,"	0",0,0.00,0,Materials
ASX:RXP,"RXP Services (ASX:RXP)",https://www.listcorp.com/asx/rxp/rxp-services,"	0",0,0.00,0,"Information Technology"
ASX:FCC,"First Cobalt Corp. (ASX:FCC)",https://www.listcorp.com/asx/fcc/first-cobalt-corp.,"	0",0,0.00,0,Materials
ASX:DMA,"Dynasty Resources (ASX:DMA)",https://www.listcorp.com/asx/dma/dynasty-resources,"	0",0,0.00,0,Materials
ASX:HML,"Henry Morgan Limited (ASX:HML)",https://www.listcorp.com/asx/hml/henry-morgan-limited,"	0",0,0.00,0,Financials
